Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,502.115486913067
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,5352.85741103671
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,3948.34327892571
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,40886.3911648431
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,2973.59115979868
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,17790.309306815
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,10006.1489736082
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,4622.73349328671
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,54907.1019101424
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,50277.2750874213
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,4793.58701966989
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,32933.4860147581
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,23503.977126673
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,1855.73982408046
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,18148.2449264001
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,6663.29529282582
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,46116.69923368
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4815.1637107951
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1219.43267185875
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3552.0687621416
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,6073.26520283208
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,7961.33814014048
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,8717.18627810819
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,31086.7510792939
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,9737.60135083347
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,774.8396902346
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,261.247472515742
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3603.7817936777
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1643.12138876475
