"";"ImePriimek";"Kategorija";"Premozenje"
"1";"Jeff Bezos";"Technology";113000
"2";"Bill Gates";"Technology";98000
"3";"Bernard Arnault & family";"Fashion & Retail";76000
"4";"Warren Buffett";"Finance & Investments";67500
"5";"Larry Ellison";"Technology";59000
"6";"Amancio Ortega";"Fashion & Retail";55100
"7";"Mark Zuckerberg";"Technology";54700
"8";"Jim Walton";"Fashion & Retail";54600
"9";"Alice Walton";"Fashion & Retail";54400
"10";"Rob Walton";"Fashion & Retail";54100
"11";"Steve Ballmer";"Technology";52700
"12";"Carlos Slim Helu & family";"Telecom";52100
"13";"Larry Page";"Technology";50900
"14";"Sergey Brin";"Technology";49100
"15";"Francoise Bettencourt Meyers & family";"Fashion & Retail";48900
"16";"Michael Bloomberg";"Media & Entertainment";48000
"17";"Jack Ma";"Technology";38800
"18";"Charles Koch";"Diversified";38200
"19";"Julia Koch & family";"Diversified";38200
"20";"Ma Huateng";"Technology";38100
"21";"Mukesh Ambani";"Energy";36800
"22";"MacKenzie Scott";"Technology";36000
"23";"Beate Heister & Karl Albrecht Jr.";"Fashion & Retail";33300
"24";"David Thomson & family";"Media & Entertainment";31600
"25";"Phil Knight & family";"Fashion & Retail";29500
"26";"Lee Shau Kee";"Real Estate";28100
"27";"Francois Pinault & family";"Fashion & Retail";27000
"28";"Sheldon Adelson";"Gambling & Casinos";26800
"29";"Jacqueline Mars";"Food & Beverage";24700
"30";"John Mars";"Food & Beverage";24700
"31";"Elon Musk";"Automotive";24600
"32";"Giovanni Ferrero";"Food & Beverage";24500
"33";"Michael Dell";"Technology";22900
"34";"Hui Ka Yan";"Real Estate";21800
"35";"Li Ka-shing";"Diversified";21700
"36";"He Xiangjian";"Manufacturing";21600
"37";"Jim Simons";"Finance & Investments";21600
"38";"Yang Huiyan & family";"Real Estate";20300
"39";"Joseph Safra";"Finance & Investments";19900
"40";"Dieter Schwarz";"Fashion & Retail";19800
"41";"Vladimir Potanin";"Metals & Mining";19700
"42";"Tadashi Yanai & family";"Fashion & Retail";19700
"43";"Qin Yinglin & family";"Food & Beverage";18500
"44";"Lukas Walton";"Fashion & Retail";18400
"45";"Vladimir Lisin";"Metals & Mining";18100
"46";"Ray Dalio";"Finance & Investments";18000
"47";"Takemitsu Takizaki";"Manufacturing";17400
"48";"Leonid Mikhelson";"Energy";17100
"49";"Alain Wertheimer";"Fashion & Retail";17100
"50";"Gerard Wertheimer";"Fashion & Retail";17100
"51";"Theo Albrecht, Jr. & family";"Fashion & Retail";17000
"52";"Len Blavatnik";"Diversified";17000
"53";"William Lei Ding";"Technology";17000
"54";"Susanne Klatten";"Automotive";16800
"55";"Alexey Mordashov & family";"Metals & Mining";16800
"56";"Masayoshi Son";"Telecom";16600
"57";"Colin Zheng Huang";"Technology";16500
"58";"Dietrich Mateschitz";"Food & Beverage";16500
"59";"Joseph Lau";"Real Estate";16400
"60";"Laurene Powell Jobs & family";"Technology";16400
"61";"Zhang Yiming";"Technology";16200
"62";"Leonardo Del Vecchio & family";"Fashion & Retail";16100
"63";"Donald Bren";"Real Estate";15500
"64";"Stephen Schwarzman";"Finance & Investments";15400
"65";"Vagit Alekperov";"Energy";15200
"66";"Lee Man Tat";"Food & Beverage";15200
"67";"Wang Wei";"Service";15200
"68";"Petr Kellner";"Finance & Investments";14900
"69";"Rupert Murdoch & family";"Media & Entertainment";14900
"70";"Leonard Lauder";"Fashion & Retail";14600
"71";"Zhong Huijuan";"Healthcare";14600
"72";"Gennady Timchenko";"Energy";14400
"73";"Thomas Peterffy";"Finance & Investments";14300
"74";"Klaus-Michael Kuehne";"Logistics";14200
"75";"Lee Kun-hee";"Diversified";14100
"76";"Wang Jianlin";"Real Estate";14000
"77";"Steve Cohen";"Finance & Investments";13900
"78";"Radhakishan Damani & family";"Fashion & Retail";13800
"79";"Carl Icahn";"Finance & Investments";13800
"80";"R. Budi Hartono";"Finance & Investments";13600
"81";"Dhanin Chearavanont";"Diversified";13500
"82";"Stefan Persson";"Fashion & Retail";13500
