"";"ImePriimek";"Premozenje";"Vir"
"1";"Jeff Bezos";131000;"Amazon"
"2";"Bill Gates";96500;"Microsoft"
"3";"Warren Buffett";82500;"Berkshire Hathaway"
"4";"Bernard Arnault & family";76000;"LVMH"
"5";"Carlos Slim Helu & family";64000;"telecom"
"6";"Amancio Ortega";62700;"Zara"
"7";"Larry Ellison";62500;"software"
"8";"Mark Zuckerberg";62300;"Facebook"
"9";"Michael Bloomberg";55500;"Bloomberg LP"
"10";"Larry Page";50800;"Google"
"11";"Charles Koch";50500;"Koch Industries"
"12";"David Koch";50500;"Koch Industries"
"13";"Mukesh Ambani";50000;"petrochemicals, oil & gas"
"14";"Sergey Brin";49800;"Google"
"15";"Francoise Bettencourt Meyers & family";49300;"L'Oreal"
"16";"Jim Walton";44600;"Walmart"
"17";"Alice Walton";44400;"Walmart"
"18";"Rob Walton";44300;"Walmart"
"19";"Steve Ballmer";41200;"Microsoft"
"20";"Ma Huateng";38800;"internet media"
"21";"Jack Ma";37300;"e-commerce"
"22";"Hui Ka Yan";36200;"real estate"
"23";"Beate Heister & Karl Albrecht Jr.";36100;"supermarkets"
"24";"Sheldon Adelson";35100;"casinos"
"25";"Michael Dell";34300;"Dell computers"
"26";"Phil Knight & family";33400;"Nike"
"27";"David Thomson & family";32500;"media"
"28";"Li Ka-shing";31700;"diversified"
"29";"Lee Shau Kee";30100;"real estate"
"30";"Francois Pinault & family";29700;"luxury goods"
"31";"Joseph Safra";25200;"banking"
"32";"Leonid Mikhelson";24000;"gas, chemicals"
"33";"Jacqueline Mars";23900;"candy, pet food"
"34";"John Mars";23900;"candy, pet food"
"35";"Jorge Paulo Lemann & family";22800;"beer"
"36";"Azim Premji";22600;"software services"
"37";"Dieter Schwarz";22600;"retail"
"38";"Wang Jianlin";22600;"real estate"
"39";"Giovanni Ferrero";22400;"Nutella, chocolates"
"40";"Elon Musk";22300;"Tesla Motors"
"41";"Tadashi Yanai & family";22200;"fashion retail"
"42";"Yang Huiyan & family";22100;"real estate"
"43";"Masayoshi Son";21600;"internet, telecom"
"44";"Jim Simons";21500;"hedge funds"
"45";"Vladimir Lisin";21300;"steel, transport"
"46";"Susanne Klatten";21000;"BMW, pharmaceuticals"
"47";"Vagit Alekperov";20700;"oil"
"48";"Alexey Mordashov & family";20500;"steel, investments"
"49";"Gennady Timchenko";20100;"oil, gas"
"50";"Leonardo Del Vecchio & family";19800;"eyeglasses"
"51";"He Xiangjian";19800;"home appliances"
"52";"Rupert Murdoch & family";19400;"newspapers, TV network"
"53";"Dietrich Mateschitz";18900;"Red Bull"
"54";"R. Budi Hartono";18600;"banking, tobacco"
"55";"Laurene Powell Jobs & family";18600;"Apple, Disney"
"56";"Michael Hartono";18500;"banking, tobacco"
"57";"Ray Dalio";18400;"hedge funds"
"58";"Vladimir Potanin";18100;"metals"
"59";"Len Blavatnik";17700;"diversified"
"60";"Stefan Quandt";17500;"BMW"
"61";"Theo Albrecht, Jr. & family";17400;"Aldi, Trader Joe's"
"62";"Carl Icahn";17400;"investments"
"63";"Lee Man Tat";17100;"Oyster sauce, real estate"
"64";"Thomas Peterffy";17100;"discount brokerage"
"65";"Hinduja brothers";16900;"diversified"
"66";"Joseph Lau";16900;"real estate"
"67";"Lee Kun-hee";16900;"Samsung"
"68";"Donald Bren";16400;"real estate"
"69";"Takemitsu Takizaki";16300;"sensors"
"70";"Zhang Yiming";16200;"software"
"71";"Abigail Johnson";15600;"money management"
"72";"Stefan Persson";15600;"H&M"
"73";"Petr Kellner";15500;"finance, telecommunications"
"74";"Iris Fontbona & family";15400;"mining"
"75";"Dhanin Chearavanont";15200;"diversified"
"76";"Gina Rinehart";15200;"mining"
"77";"Lukas Walton";15200;"Walmart"
"78";"Kwong Siu-hing";15100;"real estate"
"79";"Mikhail Fridman";15000;"oil, banking, telecom"
"80";"Pallonji Mistry";15000;"construction"
"81";"William Lei Ding";14700;"online games"
"82";"Leonard Lauder";14600;"Estee Lauder"
"83";"Lui Che Woo & family";14600;"casinos/hotels"
"84";"Shiv Nadar";14600;"software services"
"85";"Alain Wertheimer";14600;"Chanel"
"86";"Gerard Wertheimer";14600;"Chanel"
"87";"Charoen Sirivadhanabhakdi";14500;"alcohol, real estate"
"88";"Emmanuel Besnier";14300;"cheese"
"89";"Charlene de Carvalho-Heineken & family";14200;"Heineken"
"90";"Andrey Melnichenko";13800;"coal, fertilizers"
"91";"Li Shufu";13600;"automobiles"
"92";"Lakshmi Mittal";13600;"steel"
"93";"Heinz Hermann Thiele & family";13600;"brakes"
"94";"Colin Zheng Huang";13500;"e-commerce"
"95";"Hasso Plattner & family";13500;"software"
"96";"Dietmar Hopp & family";13400;"software"
"97";"Georg Schaeffler";13400;"auto parts"
"98";"German Larrea Mota Velasco & family";13300;"mining"
"99";"Zhang Zhidong";13300;"internet media"
"100";"Stephen Schwarzman";13200;"investments"
"101";"Steve Cohen";12900;"hedge funds"
"102";"Klaus-Michael Kuehne";12900;"shipping"
"103";"Eric Schmidt";12900;"Google"
"104";"Robert Kuok";12800;"palm oil, shipping, property"
"105";"Harold Hamm & family";12700;"oil & gas"
"106";"Alisher Usmanov";12600;"steel, telecom, investments"
"107";"Roman Abramovich";12400;"steel, investments"
"108";"Thomas Frist, Jr. & family";12400;"hospitals"
"109";"Stefano Pessina";12400;"drugstores"
"110";"James Ratcliffe";12100;"chemicals"
"111";"Wang Wei";12100;"package delivery"
