"";"ImePriimek";"Premozenje";"Vir"
"1";"Jeff Bezos";113000;"Amazon"
"2";"Bill Gates";98000;"Microsoft"
"3";"Bernard Arnault & family";76000;"LVMH"
"4";"Warren Buffett";67500;"Berkshire Hathaway"
"5";"Larry Ellison";59000;"software"
"6";"Amancio Ortega";55100;"Zara"
"7";"Mark Zuckerberg";54700;"Facebook"
"8";"Jim Walton";54600;"Walmart"
"9";"Alice Walton";54400;"Walmart"
"10";"Rob Walton";54100;"Walmart"
"11";"Steve Ballmer";52700;"Microsoft"
"12";"Carlos Slim Helu & family";52100;"telecom"
"13";"Larry Page";50900;"Google"
"14";"Sergey Brin";49100;"Google"
"15";"Francoise Bettencourt Meyers & family";48900;"L'Oreal"
"16";"Michael Bloomberg";48000;"Bloomberg LP"
"17";"Jack Ma";38800;"e-commerce"
"18";"Charles Koch";38200;"Koch Industries"
"19";"Julia Koch & family";38200;"Koch Industries"
"20";"Ma Huateng";38100;"internet media"
"21";"Mukesh Ambani";36800;"petrochemicals, oil & gas"
"22";"MacKenzie Scott";36000;"Amazon.com"
"23";"Beate Heister & Karl Albrecht Jr.";33300;"supermarkets"
"24";"David Thomson & family";31600;"media"
"25";"Phil Knight & family";29500;"Nike"
"26";"Lee Shau Kee";28100;"real estate"
"27";"Francois Pinault & family";27000;"luxury goods"
"28";"Sheldon Adelson";26800;"casinos"
"29";"Jacqueline Mars";24700;"candy, pet food"
"30";"John Mars";24700;"candy, pet food"
"31";"Elon Musk";24600;"Tesla, SpaceX"
"32";"Giovanni Ferrero";24500;"Nutella, chocolates"
"33";"Michael Dell";22900;"Dell computers"
"34";"Hui Ka Yan";21800;"real estate"
"35";"Li Ka-shing";21700;"diversified"
"36";"He Xiangjian";21600;"home appliances"
"37";"Jim Simons";21600;"hedge funds"
"38";"Yang Huiyan & family";20300;"real estate"
"39";"Joseph Safra";19900;"banking"
"40";"Dieter Schwarz";19800;"retail"
"41";"Vladimir Potanin";19700;"metals"
"42";"Tadashi Yanai & family";19700;"fashion retail"
"43";"Qin Yinglin & family";18500;"pig breeding"
"44";"Lukas Walton";18400;"Walmart"
"45";"Vladimir Lisin";18100;"steel, transport"
"46";"Ray Dalio";18000;"hedge funds"
"47";"Takemitsu Takizaki";17400;"sensors"
"48";"Leonid Mikhelson";17100;"gas, chemicals"
"49";"Alain Wertheimer";17100;"Chanel"
"50";"Gerard Wertheimer";17100;"Chanel"
"51";"Theo Albrecht, Jr. & family";17000;"Aldi, Trader Joe's"
"52";"Len Blavatnik";17000;"diversified"
"53";"William Lei Ding";17000;"online games"
"54";"Susanne Klatten";16800;"BMW, pharmaceuticals"
"55";"Alexey Mordashov & family";16800;"steel, investments"
"56";"Masayoshi Son";16600;"internet, telecom"
"57";"Colin Zheng Huang";16500;"e-commerce"
"58";"Dietrich Mateschitz";16500;"Red Bull"
"59";"Joseph Lau";16400;"real estate"
"60";"Laurene Powell Jobs & family";16400;"Apple, Disney"
"61";"Zhang Yiming";16200;"software"
"62";"Leonardo Del Vecchio & family";16100;"eyeglasses"
"63";"Donald Bren";15500;"real estate"
"64";"Stephen Schwarzman";15400;"investments"
"65";"Vagit Alekperov";15200;"oil"
"66";"Lee Man Tat";15200;"food"
"67";"Wang Wei";15200;"package delivery"
"68";"Petr Kellner";14900;"finance, telecommunications"
"69";"Rupert Murdoch & family";14900;"newspapers, TV network"
"70";"Leonard Lauder";14600;"Estee Lauder"
"71";"Zhong Huijuan";14600;"pharmaceuticals"
"72";"Gennady Timchenko";14400;"oil, gas"
"73";"Thomas Peterffy";14300;"discount brokerage"
"74";"Klaus-Michael Kuehne";14200;"shipping"
"75";"Lee Kun-hee";14100;"Samsung"
"76";"Wang Jianlin";14000;"real estate"
"77";"Steve Cohen";13900;"hedge funds"
"78";"Radhakishan Damani & family";13800;"retail, investments"
"79";"Carl Icahn";13800;"investments"
"80";"R. Budi Hartono";13600;"banking, tobacco"
"81";"Dhanin Chearavanont";13500;"diversified"
"82";"Stefan Persson";13500;"H&M"
"83";"Alisher Usmanov";13400;"steel, telecom, investments"
"84";"Eric Schmidt";13200;"Google"
"85";"Gina Rinehart";13100;"mining"
"86";"Walter P.J. Droege";13000;"consulting"
"87";"Mikhail Fridman";13000;"oil, banking, telecom"
"88";"Michael Hartono";13000;"banking, tobacco"
"89";"Dietmar Hopp & family";13000;"software"
"90";"Zhang Zhidong";13000;"internet media"
"91";"Hinduja brothers";12900;"diversified"
"92";"Heinz Hermann Thiele & family";12900;"brakes"
"93";"Charlene de Carvalho-Heineken & family";12800;"Heineken"
"94";"Emmanuel Besnier";12700;"cheese"
"95";"Andrey Melnichenko";12500;"coal, fertilizers"
"96";"Li Shufu";12400;"automobiles"
"97";"Hasso Plattner & family";12400;"software"
"98";"Liu Yonghao & family";12300;"agribusiness"
"99";"Stefan Quandt";12300;"BMW"
"100";"Ken Griffin";12100;"hedge funds"
"101";"David Tepper";12000;"hedge funds"
"102";"Wu Yajun & family";12000;"real estate"
"103";"Kwong Siu-hing";11900;"real estate"
"104";"Shiv Nadar";11900;"software services"
"105";"Sun Piaoyang";11800;"pharmaceuticals"
"106";"Lui Che Woo & family";11700;"casinos/hotels"
"107";"Ricardo Salinas Pliego & family";11700;"retail, media"
"108";"Li Xiting";11600;"medical devices"
"109";"Reinhold Wuerth & family";11600;"fasteners"
"110";"John Menard, Jr.";11500;"home improvement stores"
"111";"Pang Kang";11500;"soy sauce"
"112";"Peter Woo";11500;"real estate"
"113";"Roman Abramovich";11300;"steel, investments"
"114";"Udo & Harald Tschira";11300;"software"
"115";"Mikhail Prokhorov";11200;"investments"
"116";"Xu Hang";11200;"medical devices"
"117";"Pallonji Mistry";11100;"construction"
"118";"Philip Anschutz";11000;"investments"
"119";"German Larrea Mota Velasco & family";11000;"mining"
"120";"Pierre Omidyar";11000;"eBay, PayPal"
"121";"James Ratcliffe";11000;"chemicals"
"122";"Zhang Yong";11000;"restaurants"
"123";"Robert & Philip Ng";10900;"real estate"
"124";"Iris Fontbona & family";10800;"mining"
"125";"Abigail Johnson";10800;"money management"
"126";"Donald Newhouse";10800;"media"
"127";"Graeme Hart";10500;"investments"
"128";"Viktor Vekselberg";10500;"metals, energy"
"129";"Goh Cheng Liang";10400;"paints"
"130";"Uday Kotak";10400;"banking"
"131";"Jorge Paulo Lemann & family";10400;"beer"
"132";"Jorn Rausing";10300;"packaging"
"133";"Hank & Doug Meijer";10200;"supermarkets"
"134";"Stefano Pessina";10200;"drugstores"
"135";"Suleiman Kerimov & family";10000;"investments"
"136";"Stanley Kroenke";10000;"sports, real estate"
"137";"Joseph Tsai";10000;"e-commerce"
"138";"Gordon Moore";9800;"Intel"
"139";"Jan Koum";9700;"WhatsApp"
"140";"Robin Zeng";9700;"batteries"
"141";"John Fredriksen";9600;"shipping"
"142";"Robert Kuok";9600;"palm oil, shipping, property"
"143";"Andreas Struengmann & family";9600;"pharmaceuticals"
"144";"Thomas Struengmann & family";9600;"pharmaceuticals"
"145";"Hui Wing Mau";9500;"real estate"
"146";"Dustin Moskovitz";9300;"Facebook"
"147";"Lei Jun";9200;"smartphones"
"148";"Quek Leng Chan";9200;"banking, property"
"149";"Sun Hongbin";9200;"real estate"
"150";"Finn Rausing";9100;"packaging"
"151";"Kirsten Rausing";9100;"packaging"
"152";"Charoen Sirivadhanabhakdi";9100;"alcohol, real estate"
"153";"Stewart and Lynda Resnick";9000;"agriculture, water"
"154";"Luis Carlos Sarmiento";9000;"banking"
"155";"Gautam Adani";8900;"commodities, ports"
"156";"Christy Walton";8900;"Walmart"
"157";"Sunil Mittal & family";8800;"telecom"
"158";"Zhang Bangxin";8800;"education"
"159";"Anthony Pratt";8700;"manufacturing"
"160";"German Khan";8500;"oil, banking, telecom"
"161";"Eduardo Saverin";8400;"Facebook"
"162";"Aliko Dangote";8300;"cement, sugar"
"163";"George Soros";8300;"hedge funds"
"164";"Zong Qinghou";8300;"beverages"
"165";"Richard Qiangdong Liu";8200;"e-commerce"
"166";"Friedhelm Loh";8200;"manufacturing"
"167";"Lu Zhongfang";8200;"education"
"168";"Cyrus Poonawalla";8200;"vaccines"
"169";"Ernesto Bertarelli";8000;"biotech, investments"
"170";"Mike Cannon-Brookes";8000;"software"
"171";"Carl Cook";8000;"medical devices"
"172";"Scott Farquhar";8000;"software"
"173";"Gong Hongjia & family";8000;"video surveillance"
"174";"Jerry Jones";8000;"Dallas Cowboys"
"175";"Michael Platt";8000;"hedge funds"
"176";"Anders Holch Povlsen";8000;"fashion retail"
"177";"Eric Wittouck";8000;"Investments"
"178";"Xu Shihui";8000;"snacks, beverages"
"179";"Andrew Beal";7900;"banks, real estate"
"180";"Ann Walton Kroenke";7900;"Walmart"
"181";"Wang Wenyin";7900;"mining, copper products"
"182";"Zhang Fan";7900;"touch screens"
"183";"Shahid Khan";7800;"auto parts"
"184";"Zhang Jindong";7700;"appliance retailer"
"185";"Kumar Birla";7600;"commodities"
"186";"Chen Bang";7600;"hospitals"
"187";"David Geffen";7600;"movies, record labels"
"188";"Jiang Rensheng & family";7600;"vaccines"
"189";"Jim Kennedy";7600;"media, automotive"
"190";"Blair Parry-Okeden";7600;"media, automotive"
"191";"Stephen Ross";7600;"real estate"
"192";"August von Finck";7600;"investments"
"193";"David Duffield";7500;"business software"
"194";"Thomas Frist, Jr. & family";7500;"hospitals"
"195";"Eyal Ofer";7500;"real estate, shipping"
"196";"John Grayken";7400;"private equity"
"197";"Niels Peter Louis-Hansen";7400;"medical devices"
"198";"Lakshmi Mittal";7400;"steel"
"199";"Nicky Oppenheimer & family";7400;"diamonds"
"200";"John Doerr";7300;"venture capital"
